id,femId,ch
32 , 618, 0
0  , 618, 1
33 , 618, 2
1  , 618, 3
36 , 618, 4
4  , 618, 5
37 , 618, 6
5  , 618, 7
40 , 618, 8
8  , 618, 9
41 , 618, 10
9  , 618, 11
44 , 618, 12
12 , 618, 13
45 , 618, 14
13 , 618, 15
34 , 618, 16
2  , 618, 17
35 , 618, 18
3  , 618, 19
38 , 618, 20
6  , 618, 21
39 , 618, 22
7  , 618, 23
42 , 618, 24
10 , 618, 25
43 , 618, 26
11 , 618, 27
46 , 618, 28
14 , 618, 29
47 , 618, 30
15 , 618, 31
48 , 618, 32
16 , 618, 33
49 , 618, 34
17 , 618, 35
52 , 618, 36
20 , 618, 37
53 , 618, 38
21 , 618, 39
56 , 618, 40
24 , 618, 41
57 , 618, 42
25 , 618, 43
60 , 618, 44
28 , 618, 45
61 , 618, 46
29 , 618, 47
50 , 618, 48
18 , 618, 49
51 , 618, 50
19 , 618, 51
54 , 618, 52
22 , 618, 53
55 , 618, 54
23 , 618, 55
58 , 618, 56
26 , 618, 57
59 , 618, 58
27 , 618, 59
62 , 618, 60
30 , 618, 61
63 , 618, 62
31 , 618, 63
